Ano,Trimestre,Departamento,Municipio,N Accesos fijos a internet,poblacion Dane,Indice
2018,3,VALLE DEL CAUCA,ALCALA,1010,14062,0.0718
2018,3,QUINDIO,CORDOBA,215,5642,0.0381
2019,1,BOYACA,RAQUIRA,127,7958,0.016
2019,1,PUTUMAYO,COLON,278,5469,0.0508
2019,1,NARINO,RICAURTE,133,19885,0.0067
2018,3,CORDOBA,LA APARTADA,671,14866,0.0451
2018,4,CUNDINAMARCA,ZIPACON,59,4659,0.0127
2018,4,CALDAS,RISARALDA,283,10815,0.0262
2019,1,CUNDINAMARCA,SAN JUAN DE RIO SECO,167,8324,0.0201
2019,3,TOLIMA,CARMEN DE APICALA,470,10306,0.0456
2020,1,NARINO,LEIVA,25,9571,0.0026
2019,1,BOYACA,CHITA,127,7881,0.0161
2018,4,ANTIOQUIA,EL CARMEN DE VIBORAL,5655,59416,0.0952
2018,3,BOYACA,CHIQUIZA,27,4684,0.0058
2018,3,CAUCA,GUAPI,29,27616,0.0011
2019,4,ANTIOQUIA,ITUANGO,1030,27419,0.0376
2019,3,NARINO,LA TOLA,16,7441,0.0022
2019,3,BOYACA,CHINAVITA,77,3198,0.0241
2019,4,TOLIMA,MURILLO,23,4129,0.0056
2018,3,TOLIMA,RONCESVALLES,112,5459,0.0205
2018,3,CUNDINAMARCA,PUERTO SALGAR,1017,15453,0.0658
2019,1,PUTUMAYO,SIBUNDOY,820,15217,0.0539
2019,2,CUNDINAMARCA,PACHO,671,25046,0.0268
2019,3,NORTE DE SANTANDER,SILOS,56,6380,0.0088
2019,4,CAUCA,ROSAS,16,11495,0.0014
2020,1,ANTIOQUIA,BURITICA,466,9634,0.0484
2019,1,GUAINIA,CACAHUAL,26,886,0.0293
2019,4,BOYACA,SATIVANORTE,25,2177,0.0115
2018,3,SUCRE,PALMITO,33,14114,0.0023
2019,4,BOLIVAR,SAN MARTIN DE LOBA,37,14792,0.0025
2020,1,BOLIVAR,VILLANUEVA,169,25231,0.0067
2018,4,CORDOBA,LORICA,5907,113909,0.0519
2018,3,ANTIOQUIA,SAN JUAN DE URABA,518,20093,0.0258
2018,3,SUCRE,CHALAN,6,4466,0.0013
2019,2,NARINO,CORDOBA,170,15496,0.011
2019,1,CUNDINAMARCA,GACHETA,284,8439,0.0337
2019,1,NARINO,TUQUERRES,1353,44650,0.0303
2019,3,BOLIVAR,ACHI,199,24610,0.0081
2019,3,ANTIOQUIA,LIBORINA,398,10040,0.0396
2019,2,NORTE DE SANTANDER,CUCUTA,103345,749197,0.1379
2018,4,ANTIOQUIA,CAICEDO,259,8297,0.0312
2019,4,ARAUCA,CRAVO NORTE,320,4042,0.0792
2019,2,PUTUMAYO,SANTIAGO,149,7284,0.0205
